StnID,dpt_wmo_id,distance_km,elevation_diff_m,Lat,Lon,Elev,State/Province,Name,UTC_Offset,POR_Date_Range,PCT_POR_Good,Num_Year_Overlap,Num_Valid_Years,PCT_Good_Overlap_1h,Num_Year_Overlap_1h,PCT_Good_Overlap_24h,Num_Year_Overlap_24h,KG
USC00450729,727976-24217,27.95054061109436,39.8,48.9946,-122.7621,5.2,WA,BLAINE,-8,19480701-20240407, 82.6%,65.0,65.0,87.3,65.0,85.5,65.0,
USC00307549,725180-14735,44.95000776031221,48.4,43.1131,-73.5775,36.6,NY,SCHUYLERVILLE,-5,19480501-20140624, 82.2%,66.0,65.0,100.0,66.0,100.0,65.0,Dfa
USC00123206,725330-14827,41.73201309683655,25.19999999999999,41.3415,-85.1292,268.2,IN,GARRETT,-5,19601205-20240401, 91.8%,65.0,65.0,99.8,65.0,99.8,65.0,Dfa
USC00325993,727675-94011,25.85955109476225,31.200000000000045,48.1802,-101.2963,539.2,ND,MINOT EXP STATION,-6,19520901-20240301, 92.1%,65.0,65.0,86.4,65.0,91.5,64.0,Dfb
USC00049605,724836-23208,40.89413714416525,9.0,39.0277,-121.3908,32.0,CA,WHEATLAND 2 NE,-8,19480701-20240422, 94.9%,65.0,65.0,82.7,66.0,84.9,64.0,Csa
USC00323621,727575-94925,22.931891133053767,25.0,47.9217,-97.0975,253.0,ND,GRAND FORKS UNIV (NWS),-6,19601116-20240401, 78.4%,64.0,64.0,95.7,64.0,97.3,62.0,Dfb
USC00018517,723306-13825,31.7436161265877,24.5,33.7418,-88.1251,90.5,AL,VERNON,-6,19480601-20240425, 83.8%,64.0,64.0,81.3,64.0,81.1,64.0,Cfa
USC00331541,725210-14895,44.52570994386426,8.300000000000011,41.0517,-81.9361,359.7,OH,CHIPPEWA LAKE,-5,19510601-20150501, 89.9%,64.0,64.0,99.5,64.0,99.2,64.0,Dfa
USC00123418,725350-14848,38.90431565280369,31.69999999999999,41.5575,-85.8825,266.7,IN,GOSHEN 3SW,-5,19611101-20240409, 93.1%,64.0,64.0,99.9,64.0,100.0,64.0,Dfa
USC00126151,724320-93817,17.661028864450163,6.200000000000003,37.9325,-87.3744,115.8,IN,NEWBURGH LOCK & DAM,-6,19611201-20240304, 84.9%,64.0,64.0,99.9,64.0,100.0,64.0,Cfa
USC00045785,725955-24259,1.5707430141563086,0.2000000000000454,41.7815,-122.471,806.2,CA,MONTAGUE 5 NE,-8,19480701-20240317, 87.1%,64.0,64.0,89.9,64.0,91.1,64.0,Csa
USC00095165,723110-13873,20.5646680738324,17.69999999999999,33.8705,-83.1135,221.3,GA,LEXINGTON,-5,19520115-20180601, 84.3%,64.0,64.0,94.5,64.0,95.5,63.0,Cfa
USC00350126,726917-24284,17.05310391909195,10.2,43.4291,-124.0305,15.2,OR,ALLEGANY,-8,19480701-20121126, 91.5%,64.0,64.0,98.3,64.0,98.5,64.0,Csb
USC00220021,723306-13825,21.06335381207435,8.700000000000003,33.8301,-88.5206,57.3,MS,ABERDEEN,-6,19510829-20240407, 84.2%,64.0,64.0,85.5,64.0,88.7,64.0,Cfa
USC00228374,723306-13825,36.77129234482007,9.6,33.4691,-88.7822,56.4,MS,STATE UNIVERSITY,-6,19480601-20240304, 86.9%,64.0,64.0,79.5,64.0,77.3,64.0,Cfa
USC00227840,747686-13820,27.76922058870647,59.8,30.6263,-89.0549,69.8,MS,SAUCIER EXP FOREST,-6,19540501-20171201, 92.8%,64.0,64.0,99.3,64.0,99.3,64.0,Cfa
USC00211107,726550-14926,41.53163741174156,7.600000000000023,45.1969,-93.8399,302.4,MN,BUFFALO 2NE,-6,19480801-20130514, 87.7%,64.0,64.0,80.0,63.0,82.3,62.0,Dfa
USC00203947,726370-14826,38.7901033098465,55.89999999999998,42.6333,-83.9167,289.9,MI,HOWELL SEWAGE PLANT,-5,19610410-20240411, 91.5%,64.0,64.0,100.0,64.0,100.0,64.0,Dfa
