StnID,dpt_wmo_id,distance_km,elevation_diff_m,Lat,Lon,Elev,State/Province,Name,UTC_Offset,POR_Date_Range_P,PCT_POR_Good_P,Num_Years_P,PCT_Good_Overlap_1h,Num_Year_Overlap,PCT_Good_Overlap_24h,KG
USC00396170,726686-24025,12.882803890711216,19.100000000000023,44.4419,-100.4171,506.9,SD,OAHE DAM,-6,19600801-20240401,92.4,64,83.9,23,88.1,7
USC00334979,724280-14821,40.704968075999496,49.69999999999999,40.1938,-83.2675,295.7,OH,MARYSVILLE,-5,19600526-20240422,86.0,64,83.4,23,86.9,25
USC00123418,725350-14848,38.90431565280369,31.69999999999999,41.5575,-85.8825,266.7,IN,GOSHEN 3SW,-5,19611101-20240409,93.1,63,84.1,23,84.3,25
USC00126151,724320-93817,17.661028864450163,6.200000000000003,37.9325,-87.3744,115.8,IN,NEWBURGH LOCK & DAM,-6,19611201-20240304,84.9,63,89.1,23,91.0,14
USC00093460,722060-13889,47.45499379175648,2.0999999999999996,30.7997,-82.0313,9.1,GA,FOLKSTON 3 SW,-5,19480701-20161202,90.7,68,87.6,23,90.1,14
USC00125407,724380-93819,38.09496202776819,60.599999999999994,39.4043,-86.4526,180.4,IN,MARTINSVILLE 2 SW,-5,19620618-20240401,83.6,62,91.0,23,93.2,25
USC00357823,726940-24232,21.32979085537477,61.400000000000006,45.0058,-122.7739,124.4,OR,SILVERTON,-8,19620828-20240402,93.6,62,80.3,23,81.2,9
USC00114442,724390-93822,45.77757777064604,6.900000000000006,39.7346,-90.1979,185.9,IL,JACKSONVILLE 2E,-6,19630407-20240401,90.7,61,84.0,23,82.6,25
USC00471416,726410-14837,14.582763732730605,57.80000000000001,43.0596,-89.4819,318.8,WI,CHARMANY FARM,-6,19630718-20240401,91.5,61,87.1,23,91.2,25
USC00418646,722576-03902,28.852752275859572,93.80000000000001,31.0372,-97.5283,215.2,TX,STILLHOUSE HOLLOW DAM,-6,19640522-20240304,87.6,60,76.1,23,75.3,14
USC00453515,727855-24114,48.03773693442044,91.89999999999998,47.4829,-118.2519,658.1,WA,HARRINGTON,-8,19611128-20230929,90.9,62,89.3,23,92.7,7
USC00106174,726815-24106,14.705243458725896,44.10000000000002,43.1261,-115.7119,957.1,ID,MOUNTAIN HOME,-7,19480701-20170405,86.2,69,80.9,23,78.6,5
USC00419417,722560-13959,1.1178309089526817,0.09999999999999432,31.6003,-97.2169,150.9,TX,WACO DAM,-6,19650224-20230927,82.9,58,82.9,23,86.4,14
USC00145306,724550-13947,12.23904276510993,45.69999999999999,39.0745,-96.8982,369.7,KS,MILFORD LAKE,-6,19670711-20240301,86.0,57,76.3,23,80.8,25
USC00112353,724350-03816,44.16894341573875,36.599999999999994,37.4388,-88.6678,160.6,IL,DIXON SPRINGS AGRIC CNTR,-6,19670921-20240308,91.1,57,74.7,23,80.7,14
USC00166244,722485-13944,36.181231664615275,6.399999999999999,32.6052,-93.2947,56.4,LA,MINDEN,-6,19640305-20211026,86.1,57,80.7,23,82.1,14
USC00237452,724338-13802,37.66025211393427,18.0,38.6308,-90.2708,157.0,MO,ST LOUIS SCIENCE CENTER,-6,19680701-20240405,65.8,56,86.9,23,86.9,25
